Wall time,Step,Value
1763361631.4710271,2048,-2.48848295211792
1763361641.0729809,4096,-2.488508939743042
1763361654.2322388,6144,-2.488440990447998
1763361662.4883504,8192,-2.4884860515594482
1763361670.5182774,10240,-2.4884541034698486
1763361679.2062278,12288,-2.488477945327759
1763361686.9910033,14336,-2.488476037979126
1763361695.1758418,16384,-2.4884800910949707
1763361703.5998185,18432,-2.4884960651397705
1763361711.1907089,20480,-2.4884819984436035
1763361719.531223,22528,-2.4885098934173584
1763361727.8555603,24576,-2.4884519577026367
1763361735.3827837,26624,-2.488455057144165
1763361743.8192387,28672,-2.4884390830993652
1763361752.166389,30720,-2.4884579181671143
1763361759.786983,32768,-2.4884729385375977
1763361768.192955,34816,-2.48848295211792
1763361776.498566,36864,-2.4884450435638428
1763361784.2001376,38912,-2.4883530139923096
1763361792.5811565,40960,-2.4883899688720703
1763361800.61303,43008,-2.4883930683135986
1763361808.6235452,45056,-2.4884541034698486
1763361817.039902,47104,-2.4882569313049316
1763361824.8705132,49152,-2.486053943634033
1763361832.9350398,51200,-2.4909379482269287
1763361841.478942,53248,-2.4860799312591553
1763361849.0596569,55296,-2.488753080368042
1763361857.3292274,57344,-2.4918880462646484
1763361865.7126713,59392,-2.491549015045166
1763361873.2778764,61440,-2.4875130653381348
1763361881.5454001,63488,-2.4924049377441406
1763361889.913764,65536,-2.489495038986206
1763361897.4694076,67584,-2.4864890575408936
1763361905.8506823,69632,-2.4880330562591553
1763361914.2279956,71680,-2.4909350872039795
1763361921.8564777,73728,-2.4875741004943848
1763361930.2513802,75776,-2.4920361042022705
1763361938.5094264,77824,-2.4886040687561035
1763361946.232105,79872,-2.4878408908843994
1763361954.6456833,81920,-2.4916229248046875
1763361962.5816631,83968,-2.491892099380493
1763361970.4240692,86016,-2.491792917251587
1763361978.7911453,88064,-2.4929349422454834
1763361986.5155606,90112,-2.488521099090576
1763361994.543651,92160,-2.4920148849487305
1763362003.011254,94208,-2.4921250343322754
1763362010.5599954,96256,-2.491966962814331
1763362018.8405225,98304,-2.491971015930176
1763362027.1724825,100352,-2.492288112640381
1763362034.7145565,102400,-2.4923930168151855
1763362043.0413406,104448,-2.4927189350128174
1763362051.4060411,106496,-2.492171049118042
1763362058.914551,108544,-2.4792680740356445
1763362067.3312914,110592,-2.494497060775757
1763362075.4483995,112640,-2.4920339584350586
1763362083.3155174,114688,-2.4885621070861816
1763362091.827694,116736,-2.491316080093384
1763362100.1842852,118784,-2.480194091796875
